Name,Industry,Sub Industry,Headquarters Location,Date added,,,
Agilent Technologies,7,Health Care Equipment,Santa Clara, California,2000,,,
American Airlines Group,8,Airlines,Fort Worth, Texas,2015,,,
Advance Auto Parts,2,Automotive Retail,Raleigh, North Carolina,2015,,,
Apple Inc,9,Technology Hardware  Storage & Peripherals,Cupertino  California,1982,,,
AbbVie,7,Pharmaceuticals,North Chicago, Illinois,2012,,,
AmerisourceBergen,7,Health Care Distributors,Conshohocken, Pennsylvania,2001,,,
Abbott,7,Health Care Equipment,North Chicago, Illinois,1964,,,
Arch Capital Group,6,Reinsurance,Hamilton, Bermuda,2022,,,
Accenture,9,IT Consulting & Other Services,Dublin, Ireland,2011,,,
Adobe Inc,9,Application Software,San Jose, California,1997,,,
Analog Devices,9,Semiconductors,Wilmington, Massachusetts,1999,,,
ADM,5,Agricultural Products,Chicago, Illinois,1981,,,
ADP,9,Data Processing & Outsourced Services,Roseland, New Jersey,1981,,,
Autodesk,9,Application Software,San Francisco, California,1989,,,
Ameren,12,Multi Utilities,St  Louis, Missouri,1991,,,
American Electric Power,12,Electric Utilities,Columbus, Ohio,1957,,,
AES Corporation,12,Independent Power Producers & Energy Traders,Arlington, Virginia,1998,,,
Aflac,6,Life & Health Insurance,Columbus, Georgia,1999,,,
American International Group,6,Property & Casualty Insurance,New York City, New York,1980,,,
Assurant,6,Multi line Insurance,New York City, New York,2007,,,
Arthur J Gallagher & Co,6,Insurance Brokers,Rolling Meadows, Illinois,2016,,,
Akamai,9,Internet Services & Infrastructure,Cambridge, Massachusetts,2007,,,
Albemarle Corporation,10,Specialty Chemicals,Charlotte, North Carolina,2016,,,
Align Technology,7,Health Care Supplies,Tempe, Arizona,2017,,,
Alaska Air Group,8,Airlines,SeaTac, Washington,2016,,,
Allstate,6,Property & Casualty Insurance,Northfield Township, Illinois,1995,,,
Allegion,8,Building Products,New York City, New York,2013,,,
Applied Materials,9,Semiconductor Equipment,Santa Clara, California,1995,,,
Amcor,10,Paper Packaging,Warmley,  Bristol, United Kingdom,2019,,,
AMD,9,Semiconductors,Santa Clara, California,2017,,,
Ametek,8,Electrical Components & Equipment,Berwyn, Pennsylvania,2013,,,
Amgen,7,Biotechnology,Thousand Oaks, California,1992,,,
Ameriprise Financial,6,Asset Management & Custody Banks,Minneapolis, Minnesota,2005,,,
American Tower,11,Specialized REITs,Boston, Massachusetts,2007,,,
Amazon,2,Internet & Direct Marketing Retail,Seattle, Washington,2005,,,
Arista Networks,9,Communications Equipment,Santa Clara, California,2018,,,
Ansys,9,Application Software,Canonsburg, Pennsylvania,2017,,,
Aon,6,Insurance Brokers,London, UK,1996,,,
A O Smith,8,Building Products,Milwaukee, Wisconsin,2017,,,
APA Corporation,4,Oil & Gas Exploration & Production,Houston, Texas,1997,,,
Air Products and Chemicals,10,Industrial Gases,Allentown, Pennsylvania,1985,,,
Amphenol,9,Electronic Components,Wallingford, Connecticut,2008,,,
Aptiv,2,Auto Parts & Equipment,Dublin, Ireland,2012,,,
Alexandria Real Estate Equities,11,Office REITs,Pasadena, California,2017,,,
Atmos Energy,12,Gas Utilities,Dallas, Texas,2019,,,
Activision Blizzard,1,Interactive Home Entertainment,Santa Monica, California,2015,,,
AvalonBay Communities,11,Residential REITs,Arlington, Virginia,2007,,,
Broadcom Inc,9,Semiconductors,San Jose, California,2014,,,
Avery Dennison,10,Paper Packaging,Glendale, California,1987,,,
American Water Works,12,Water Utilities,Camden, New Jersey,2016,,,
American Express,6,Consumer Finance,New York City, New York,1976,,,
AutoZone,2,Specialty Stores,Memphis, Tennessee,1997,,,
Boeing,8,Aerospace & Defense,Chicago, Illinois,1957,,,
Bank of America,6,Diversified Banks,Charlotte, North Carolina,1976,,,
Ball Corporation,10,Metal & Glass Containers,Broomfield, Colorado,1984,,,
Baxter International,7,Health Care Equipment,Deerfield, Illinois,1972,,,
Bath & Body Works Inc,2,Specialty Stores,Columbus, Ohio,1983,,,
Best Buy,2,Computer & Electronics Retail,Richfield, Minnesota,1999,,,
Becton Dickinson,7,Health Care Equipment,Franklin Lakes, New Jersey,1972,,,
Browna Forman,5,Distillers & Vintners,Louisville, Kentucky,1982,,,
Biogen,7,Biotechnology,Cambridge, Massachusetts,2003,,,
Bio Rad,7,Life Sciences Tools & Services,Hercules, California,2020,,,
BNY Mellon,6,Asset Management & Custody Banks,New York City, New York,1995,,,
Booking Holdings,2,Internet & Direct Marketing Retail,Norwalk, Connecticut,2009,,,
Baker Hughes,4,Oil & Gas Equipment & Services,Houston, Texas,2017,,,
BlackRock,6,Asset Management & Custody Banks,New York City, New York,2011,,,
Bristol Myers Squibb,7,Pharmaceuticals,New York City, New York,1957,,,
Broadridge Financial Solutions,9,Data Processing & Outsourced Services,Lake Success, New York,2018,,,
Berkshire Hathaway,6,Multi Sector Holdings,Omaha, Nebraska,2010,,,
Brown & Brown,6,Insurance Brokers,Daytona Beach, Florida,2021,,,
Boston Scientific,7,Health Care Equipment,Marlborough, Massachusetts,1995,,,
BorgWarner,2,Auto Parts & Equipment,Auburn Hills, Michigan,2011,,,
Boston Properties,11,Office REITs,Boston, Massachusetts,2006,,,
Citigroup,6,Diversified Banks,New York City, New York,1988,,,
Conagra Brands,5,Packaged Foods & Meats,Chicago, Illinois,1983,,,
Cardinal Health,7,Health Care Distributors,Dublin, Ohio,1997,,,
Carrier Global,8,Building Products,Palm Beach Gardens, Florida,2020,,,
Caterpillar Inc,8,Construction Machinery & Heavy Trucks,Irving, Texas,1957,,,
Chubb Limited,6,Property & Casualty Insurance,Zurich, Switzerland,2010,,,
Cboe Global Markets,6,Financial Exchanges & Data,Chicago, Illinois,2017,,,
CBRE Group,11,Real Estate Services,Dallas, Texas,2006,,,
Crown Castle,11,Specialized REITs,Houston, Texas,2012,,,
Carnival,2,Hotels  Resorts & Cruise Lines,Miami  Florida,1998,,,
Ceridian,9,Application Software,Minneapolis, Minnesota,2021,,,
Cadence Design Systems,9,Application Software,San Jose, California,2017,,,
CDW,9,Technology Distributors,Lincolnshire, Illinois,2019,,,
Celanese,10,Specialty Chemicals,Irving, Texas,2018,,,
Constellation Energy,12,Multi Utilities,Baltimore, Maryland,2022,,,
CF Industries,10,Fertilizers & Agricultural Chemicals,Deerfield, Illinois,2008,,,
Citizens Financial Group,6,Regional Banks,Providence, Rhode Island,2016,,,
Church & Dwight,5,Household Products,Ewing, New Jersey,2015,,,
CH Robinson,8,Air Freight & Logistics,Eden Prairie, Minnesota,2007,,,
Charter Communications,1,Cable & Satellite,Stamford, Connecticut,2016,,,
Cigna,7,Managed Health Care,Bloomfield, Connecticut,1976,,,
Cincinnati Financial,6,Property & Casualty Insurance,Fairfield, Ohio,1997,,,
Colgate Palmolive,5,Household Products,New York City, New York,1957,,,
Clorox,5,Household Products,Oakland, California,1969,,,
Comerica,6,Diversified Banks,Dallas, Texas,1995,,,
Comcast,1,Cable & Satellite,Philadelphia, Pennsylvania,2002,,,
CME Group,6,Financial Exchanges & Data,Chicago, Illinois,2006,,,
Chipotle Mexican Grill,2,Restaurants,Newport Beach, California,2011,,,
Cummins,8,Industrial Machinery,Columbus, Indiana,1965,,,
CMS Energy,12,Multi Utilities,Jackson, Michigan,1999,,,
Centene Corporation,7,Managed Health Care,St  Louis, Missouri,2016,,,
CenterPoint Energy,12,Multi Utilities,Houston, Texas,1985,,,
Capital One,6,Consumer Finance,Tysons Corner, Virginia,1998,,,
CooperCompanies,7,Health Care Supplies,San Ramon, California,2016,,,
ConocoPhillips,4,Oil & Gas Exploration & Production,Houston, Texas,1957,,,
Costco,5,Hypermarkets & Super Centers,Issaquah, Washington,1993,,,
Campbell Soup Company,5,Packaged Foods & Meats,Camden, New Jersey,1957,,,
Copart,8,Diversified Support Services,Dallas, Texas,2018,,,
Camden Property Trust,11,Residential REITs,Houston, Texas,2022,,,
Charles River Laboratories,7,Life Sciences Tools & Services,Wilmington, Massachusetts,2021,,,
Salesforce,9,Application Software,San Francisco, California,2008,,,
Cisco,9,Communications Equipment,San Jose, California,1993,,,
CoStar Group,8,Research & Consulting Services,Washington, D C ,2022,,,
CSX,8,Railroads,Jacksonville, Florida,1967,,,
Cintas,8,Diversified Support Services,Mason, Ohio,2001,,,
Catalent,7,Pharmaceuticals,Somerset, New Jersey,2020,,,
Coterra,4,Oil & Gas Exploration & Production,Houston, Texas,2008,,,
Cognizant,9,IT Consulting & Other Services,Teaneck, New Jersey,2006,,,
Corteva,10,Fertilizers & Agricultural Chemicals,Indianapolis, Indiana,2019,,,
CVS Health,7,Health Care Services,Woonsocket, Rhode Island,1957,,,
Chevron Corporation,4,Integrated Oil & Gas,San Ramon, California,1957,,,
Caesars Entertainment,2,Casinos & Gaming,Reno, Nevada,2021,,,
Delta Air Lines,8,Airlines,Atlanta, Georgia,2013,,,
DuPont,10,Specialty Chemicals,Wilmington, Delaware,2019,,,
John Deere,8,Agricultural & Farm Machinery,Moline, Illinois,1957,,,
Discover Financial,6,Consumer Finance,Riverwoods, Illinois,2007,,,
Dollar General,2,General Merchandise Stores,Goodlettsville, Tennessee,2012,,,
Quest Diagnostics,7,Health Care Services,Secaucus, New Jersey,2002,,,
DR Horton,2,Homebuilding,Arlington, Texas,2005,,,
Disney,1,Movies & Entertainment,Burbank, California,1976,,,
Dish Network,1,Cable & Satellite,Meridian, Colorado,2017,,,
Digital Realty,11,Specialized REITs,Austin, Texas,2016,,,
Dollar Tree,2,General Merchandise Stores,Chesapeake, Virginia,2011,,,
Dover Corporation,8,Industrial Machinery,Downers Grove, Illinois,1985,,,
Dow Inc,10,Commodity Chemicals,Midland, Michigan,2019,,,
Domino s,2,Restaurants,Ann Arbor, Michigan,2020,,,
DTE Energy,12,Multi Utilities,Detroit, Michigan,1957,,,
