Name;Industry;Sub Industry;Date added
Agilent Technologies;Health Care;Health Care Equipment;2000
American Airlines Group;Industrials;Airlines;2015
Advance Auto Parts;Consumer Discretionary;Automotive Retail;2015
Apple Inc;Information Technology;Technology Hardware  Storage & Peripherals;1982
AbbVie;Health Care;Pharmaceuticals;2012
AmerisourceBergen;Health Care;Health Care Distributors;2001
Abbott;Health Care;Health Care Equipment;1964
Arch Capital Group;Financials;Reinsurance;2022
Accenture;Information Technology;IT Consulting And Other Services;2011
Adobe Inc;Information Technology;Application Software;1997
Analog Devices;Information Technology;Semiconductors;1999
ADM;Consumer Staples;Agricultural Products;1981
ADP;Information Technology;Data Processing And Outsourced Services;1981
Autodesk;Information Technology;Application Software;1989
Ameren;Utilities;Multi Utilities;1991
American Electric Power;Utilities;Electric Utilities;1957
AES Corporation;Utilities;Independent Power Producers And Energy Traders;1998
Aflac;Financials;Life And Health Insurance;1999
American International Group;Financials;Property And Casualty Insurance;1980
Assurant;Financials;Multi line Insurance;2007
Arthur J Gallagher And Co;Financials;Insurance Brokers;2016
Akamai;Information Technology;Internet Services And Infrastructure;2007
Albemarle Corporation;Materials;Specialty Chemicals;2016
Align Technology;Health Care;Health Care Supplies;2017
Alaska Air Group;Industrials;Airlines;2016
Allstate;Financials;Property And Casualty Insurance;1995
Allegion;Industrials;Building Products;2013
Applied Materials;Information Technology;Semiconductor Equipment;1995
Amcor;Materials;Paper Packaging;2019
AMD;Information Technology;Semiconductors;2017
Ametek;Industrials;Electrical Components And Equipment;2013
Amgen;Health Care;Biotechnology;1992
Ameriprise Financial;Financials;Asset Management And Custody Banks;2005
American Tower;Real Estate;Specialized REITs;2007
Amazon;Consumer Discretionary;Internet And Direct Marketing Retail;2005
Arista Networks;Information Technology;Communications Equipment;2018
Ansys;Information Technology;Application Software;2017
Aon;Financials;Insurance Brokers;1996
A O Smith;Industrials;Building Products;2017
APA Corporation;Energy;Oil And Gas Exploration And Production;1997
Air Products and Chemicals;Materials;Industrial Gases;1985
Amphenol;Information Technology;Electronic Components;2008
Aptiv;Consumer Discretionary;Auto Parts And Equipment;2012
Alexandria Real Estate Equities;Real Estate;Office REITs;2017
Atmos Energy;Utilities;Gas Utilities;2019
Activision Blizzard;Communication Services;Interactive Home Entertainment;2015
AvalonBay Communities;Real Estate;Residential REITs;2007
Broadcom Inc;Information Technology;Semiconductors;2014
Avery Dennison;Materials;Paper Packaging;1987
American Water Works;Utilities;Water Utilities;2016
American Express;Financials;Consumer Finance;1976
AutoZone;Consumer Discretionary;Specialty Stores;1997
Boeing;Industrials;Aerospace And Defense;1957
Bank of America;Financials;Diversified Banks;1976
Ball Corporation;Materials;Metal And Glass Containers;1984
Baxter International;Health Care;Health Care Equipment;1972
Bath And Body Works Inc;Consumer Discretionary;Specialty Stores;1983
Best Buy;Consumer Discretionary;Computer And Electronics Retail;1999
Becton Dickinson;Health Care;Health Care Equipment;1972
Browna Forman;Consumer Staples;Distillers And Vintners;1982
Biogen;Health Care;Biotechnology;2003
Bio Rad;Health Care;Life Sciences Tools And Services;2020
BNY Mellon;Financials;Asset Management And Custody Banks;1995
Booking Holdings;Consumer Discretionary;Internet And Direct Marketing Retail;2009
Baker Hughes;Energy;Oil And Gas Equipment And Services;2017
BlackRock;Financials;Asset Management And Custody Banks;2011
Bristol Myers Squibb;Health Care;Pharmaceuticals;1957
Broadridge Financial Solutions;Information Technology;Data Processing And Outsourced Services;2018
Berkshire Hathaway;Financials;Multi Sector Holdings;2010
Brown And Brown;Financials;Insurance Brokers;2021
Boston Scientific;Health Care;Health Care Equipment;1995
BorgWarner;Consumer Discretionary;Auto Parts And Equipment;2011
Boston Properties;Real Estate;Office REITs;2006
Citigroup;Financials;Diversified Banks;1988
Conagra Brands;Consumer Staples;Packaged Foods And Meats;1983
Cardinal Health;Health Care;Health Care Distributors;1997
Carrier Global;Industrials;Building Products;2020
Caterpillar Inc;Industrials;Construction Machinery And Heavy Trucks;1957
Chubb Limited;Financials;Property And Casualty Insurance;2010
Cboe Global Markets;Financials;Financial Exchanges And Data;2017
CBRE Group;Real Estate;Real Estate Services;2006
Crown Castle;Real Estate;Specialized REITs;2012
Carnival;Consumer Discretionary;Hotels  Resorts And Cruise Lines;1998
Ceridian;Information Technology;Application Software;2021
Cadence Design Systems;Information Technology;Application Software;2017
CDW;Information Technology;Technology Distributors;2019
Celanese;Materials;Specialty Chemicals;2018
Constellation Energy;Utilities;Multi Utilities;2022
CF Industries;Materials;Fertilizers And Agricultural Chemicals;2008
Citizens Financial Group;Financials;Regional Banks;2016
Church And Dwight;Consumer Staples;Household Products;2015
CH Robinson;Industrials;Air Freight And Logistics;2007
Charter Communications;Communication Services;Cable And Satellite;2016
Cigna;Health Care;Managed Health Care;1976
Cincinnati Financial;Financials;Property And Casualty Insurance;1997
Colgate Palmolive;Consumer Staples;Household Products;1957
Clorox;Consumer Staples;Household Products;1969
Comerica;Financials;Diversified Banks;1995
Comcast;Communication Services;Cable And Satellite;2002
CME Group;Financials;Financial Exchanges And Data;2006
Chipotle Mexican Grill;Consumer Discretionary;Restaurants;2011
Cummins;Industrials;Industrial Machinery;1965
CMS Energy;Utilities;Multi Utilities;1999
Centene Corporation;Health Care;Managed Health Care;2016
CenterPoint Energy;Utilities;Multi Utilities;1985
Capital One;Financials;Consumer Finance;1998
CooperCompanies;Health Care;Health Care Supplies;2016
ConocoPhillips;Energy;Oil And Gas Exploration And Production;1957
Costco;Consumer Staples;Hypermarkets And Super Centers;1993
Campbell Soup Company;Consumer Staples;Packaged Foods And Meats;1957
Copart;Industrials;Diversified Support Services;2018
Camden Property Trust;Real Estate;Residential REITs;2022
Charles River Laboratories;Health Care;Life Sciences Tools And Services;2021
Salesforce;Information Technology;Application Software;2008
Cisco;Information Technology;Communications Equipment;1993
CoStar Group;Industrials;Research And Consulting Services;2022
CSX;Industrials;Railroads;1967
Cintas;Industrials;Diversified Support Services;2001
Catalent;Health Care;Pharmaceuticals;2020
Coterra;Energy;Oil And Gas Exploration And Production;2008
Cognizant;Information Technology;IT Consulting And Other Services;2006
Corteva;Materials;Fertilizers And Agricultural Chemicals;2019
CVS Health;Health Care;Health Care Services;1957
Chevron Corporation;Energy;Integrated Oil And Gas;1957
Caesars Entertainment;Consumer Discretionary;Casinos And Gaming;2021
